name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,cost,service_type,cuisine_count,price_range
KFC,Yes,No,3.8,1753,Jayanagar,Pub,Dosa,"Italian, Fast Food",200.0,Buffet,2,Cheap
Resto_829,Yes,No,3.2,53,Whitefield,Fine Dining,Pasta,"Thai, Continental",3000.0,Buffet,2,Very Expensive
Resto_51,Yes,No,3.7,559,Indiranagar,Quick Service Restaurant,Salad,"Thai, Beverages, Continental, Mexican",200.0,Dine-out,4,Cheap
Burger King,No,Yes,2.1,2057,Jp Nagar,Bar,Biryani,Desserts,400.0,Pubs and bars,1,Cheap
Resto_815,Yes,No,4.7,454,Hsr Layout,Fine Dining,Biryani,"Continental, Chinese, Thai",3000.0,Buffet,3,Very Expensive
Leon Grill,No,No,4.7,2989,Hsr Layout,Fine Dining,Burgers,"Mexican, Thai, Desserts",2500.0,Delivery,3,Very Expensive
Burger King,Yes,Yes,4.8,375,Hsr Layout,Bakery,Biryani,"Desserts, Thai, South Indian, Fast Food",1000.0,Dine-out,4,Moderate
Resto_445,Yes,No,4.2,26,Hsr Layout,Bar,Sushi,"Thai, Continental, South Indian, North Indian",1000.0,Pubs and bars,4,Moderate
Resto_31,No,No,4.5,1716,Hsr Layout,Bakery,Steak,"Continental, Mexican",2000.0,Pubs and bars,2,Expensive
Leon Grill,Yes,Yes,2.5,1115,Nan,Pub,Burgers,"North Indian, Mexican, South Indian, Chinese, Fast Food",2000.0,Buffet,5,Expensive
Resto_833,Yes,No,3.8,2301,Jayanagar,Bar,Burgers,"Thai, Desserts, Fast Food",3000.0,Buffet,3,Very Expensive
Resto_685,No,No,4.6,2184,Hsr Layout,Bakery,Salad,Desserts,1500.0,Dine-out,1,Expensive
Pizza Hut,Yes,Yes,2.6,1162,Koramangala,Bakery,Dosa,"South Indian, Desserts, Beverages",1200.0,Pubs and bars,3,Expensive
Burger King,No,Yes,4.4,2949,Jp Nagar,Bakery,Burgers,"Fast Food, Beverages, North Indian, Continental, Desserts",2000.0,Buffet,5,Expensive
Empire Restaurant,Yes,Yes,3.4,1322,Jp Nagar,Pub,Pasta,"Fast Food, North Indian, Thai, Desserts",400.0,Cafes,4,Cheap
Resto_402,Yes,Yes,3.1,2391,Koramangala,Bar,Sushi,"Mexican, Chinese, Fast Food",1200.0,Delivery,3,Expensive
Resto_20,No,Yes,2.1,1493,Koramangala,Quick Service Restaurant,Pasta,"Italian, Chinese",1200.0,Dine-out,2,Expensive
Onesta,No,No,4.9,2353,Whitefield,Bakery,Biryani,"Beverages, Continental",1500.0,Buffet,2,Expensive
McDonald's,Yes,No,4.2,1176,Whitefield,Cafe,Pizza,Italian,1000.0,Delivery,1,Moderate
Resto_157,No,Yes,3.6,2028,Indiranagar,Pub,Biryani,Continental,2500.0,Pubs and bars,1,Very Expensive
Nandhana Palace,No,No,3.1,1882,Koramangala,Casual Dining,Dosa,"Beverages, Continental",600.0,Pubs and bars,2,Moderate
Nandhana Palace,No,No,4.0,1124,Jp Nagar,Pub,Pizza,"Beverages, Italian, Fast Food, Continental",200.0,Cafes,4,Cheap
Leon Grill,No,Yes,4.8,2852,Mg Road,Fine Dining,Pizza,"Thai, South Indian",1200.0,Drinks & nightlife,2,Expensive
Onesta,No,No,3.6,1865,Jp Nagar,Bar,Biryani,"Italian, Mexican",800.0,Drinks & nightlife,2,Moderate
KFC,No,No,4.8,1854,Jayanagar,Cafe,Burgers,"Fast Food, Beverages, Continental, Mexican",2500.0,Dine-out,4,Very Expensive
Resto_220,No,No,2.3,715,Koramangala,Bar,Biryani,"Thai, Fast Food, Mexican",400.0,Dine-out,3,Cheap
Resto_716,No,No,4.8,457,Jayanagar,Bakery,Salad,"Mexican, Chinese, South Indian, North Indian, Desserts",3000.0,Cafes,5,Very Expensive
KFC,No,Yes,2.8,2719,Jp Nagar,Casual Dining,Burgers,"Continental, Italian",800.0,Cafes,2,Moderate
Resto_54,Yes,Yes,4.8,1386,Mg Road,Fine Dining,Salad,Thai,2500.0,Buffet,1,Very Expensive
Resto_996,Yes,No,2.6,887,Nan,Quick Service Restaurant,Salad,"Italian, Mexican, Desserts, Thai, Continental",400.0,Drinks & nightlife,5,Cheap
Resto_461,Yes,No,2.7,495,Koramangala,Cafe,Steak,"Fast Food, Italian",2000.0,Delivery,2,Expensive
KFC,Yes,No,2.3,2061,Whitefield,Cafe,Sushi,North Indian,1000.0,Cafes,1,Moderate
Leon Grill,No,Yes,2.0,2873,Hsr Layout,Cafe,Salad,Beverages,2000.0,Buffet,1,Expensive
Onesta,Yes,Yes,2.6,396,Koramangala,Quick Service Restaurant,Salad,Fast Food,1500.0,Dine-out,1,Expensive
Resto_294,No,No,3.6,1329,Jp Nagar,Bakery,Sushi,"Thai, Italian, Beverages, Desserts",2500.0,Cafes,4,Very Expensive
Resto_524,Yes,Yes,4.1,656,Jp Nagar,Bakery,Salad,"Italian, Continental, Desserts",400.0,Delivery,3,Cheap
Empire Restaurant,Yes,Yes,3.1,2617,Jp Nagar,Bar,Biryani,Beverages,800.0,Cafes,1,Moderate
Nandhana Palace,Yes,Yes,2.4,1760,Mg Road,Pub,Salad,"North Indian, Mexican, Fast Food, Continental, Italian",600.0,Cafes,5,Moderate
Resto_967,No,No,3.6,601,Jp Nagar,Pub,Burgers,Continental,200.0,Dine-out,1,Cheap
Nandhana Palace,Yes,No,2.1,2565,Jp Nagar,Bar,Sushi,"Italian, Chinese, Desserts",800.0,Buffet,3,Moderate
Resto_972,Yes,No,2.4,2406,Whitefield,Bar,Biryani,"Continental, North Indian, Beverages, Mexican, Chinese",2000.0,Pubs and bars,5,Expensive
Pizza Hut,No,No,3.7,2552,Nan,Cafe,Burgers,"Fast Food, Desserts, Beverages, Italian, Chinese",3000.0,Delivery,5,Very Expensive
McDonald's,Yes,Yes,3.1,2938,Mg Road,Fine Dining,Sushi,"Mexican, Italian, Beverages, South Indian, North Indian",1000.0,Pubs and bars,5,Moderate
Resto_714,No,Yes,4.0,435,Marathahalli,Bar,Biryani,Thai,400.0,Dine-out,1,Cheap
Resto_894,Yes,Yes,2.6,621,Mg Road,Pub,Pizza,"Continental, Italian, North Indian, Desserts, Chinese",200.0,Dine-out,5,Cheap
Resto_733,No,Yes,4.1,1002,Whitefield,Quick Service Restaurant,Pasta,"Desserts, Thai, Fast Food",1000.0,Dine-out,3,Moderate
Empire Restaurant,Yes,No,2.4,2312,Hsr Layout,Casual Dining,Pasta,"Italian, Fast Food, Beverages, South Indian, Chinese",3000.0,Buffet,5,Very Expensive
Resto_592,No,Yes,2.9,2760,Mg Road,Quick Service Restaurant,Burgers,"North Indian, Desserts, South Indian, Thai, Italian",3000.0,Cafes,5,Very Expensive
Resto_122,No,No,2.6,547,Marathahalli,Cafe,Burgers,"Fast Food, Thai, Mexican, Beverages",2500.0,Pubs and bars,4,Very Expensive
Pizza Hut,Yes,Yes,3.6,641,Koramangala,Bakery,Salad,"Fast Food, Desserts, Continental, North Indian",800.0,Delivery,4,Moderate
Nandhana Palace,Yes,No,3.4,656,Hsr Layout,Bakery,Pizza,"Mexican, Fast Food",3000.0,Dine-out,2,Very Expensive
Pizza Hut,Yes,No,3.3,339,Jayanagar,Bakery,Pasta,"Italian, South Indian, Fast Food, Mexican, North Indian",800.0,Buffet,5,Moderate
McDonald's,No,No,3.8,2650,Indiranagar,Quick Service Restaurant,Steak,"Thai, Chinese, Desserts, Mexican, South Indian",800.0,Pubs and bars,5,Moderate
Resto_413,Yes,No,4.0,462,Jp Nagar,Pub,Dosa,"Desserts, Italian, Continental, Mexican",600.0,Delivery,4,Moderate
Resto_259,No,No,3.6,2312,Jp Nagar,Pub,Pasta,"Mexican, Italian, Fast Food",2500.0,Drinks & nightlife,3,Very Expensive
Burger King,Yes,Yes,4.7,1697,Jayanagar,Pub,Biryani,"Fast Food, South Indian, Italian, Chinese",1500.0,Drinks & nightlife,4,Expensive
Onesta,No,No,4.8,260,Marathahalli,Bakery,Salad,"Beverages, Desserts, Mexican, Continental, Chinese",3000.0,Pubs and bars,5,Very Expensive
Onesta,Yes,Yes,2.9,339,Jp Nagar,Pub,Burgers,"Italian, Chinese",400.0,Delivery,2,Cheap
Leon Grill,No,Yes,3.5,481,Indiranagar,Bakery,Steak,"Fast Food, Beverages",200.0,Drinks & nightlife,2,Cheap
McDonald's,Yes,Yes,3.3,1122,Indiranagar,Casual Dining,Biryani,"South Indian, Thai",2000.0,Pubs and bars,2,Expensive
Resto_655,No,Yes,2.1,1424,Koramangala,Pub,Steak,"Continental, Italian, North Indian",1200.0,Pubs and bars,3,Expensive
Resto_127,No,Yes,4.7,2969,Indiranagar,Casual Dining,Salad,"Fast Food, North Indian, Italian, Chinese",400.0,Buffet,4,Cheap
Onesta,No,Yes,3.0,1102,Jp Nagar,Quick Service Restaurant,Burgers,"South Indian, Fast Food, Italian, Mexican",3000.0,Delivery,4,Very Expensive
Resto_140,Yes,Yes,4.1,1631,Indiranagar,Quick Service Restaurant,Sushi,"Fast Food, Italian",3000.0,Cafes,2,Very Expensive
Burger King,No,No,3.7,676,Marathahalli,Bakery,Biryani,"Fast Food, Continental, Italian, North Indian, Beverages",400.0,Delivery,5,Cheap
Empire Restaurant,Yes,No,4.8,1352,Jp Nagar,Fine Dining,Sushi,Continental,2500.0,Cafes,1,Very Expensive
Pizza Hut,Yes,No,4.8,2315,Jp Nagar,Casual Dining,Salad,"Desserts, Italian, Beverages, South Indian",200.0,Dine-out,4,Cheap
KFC,Yes,No,2.8,2803,Jp Nagar,Cafe,Steak,"Thai, Desserts, South Indian, Beverages, Italian",600.0,Buffet,5,Moderate
Resto_859,No,Yes,2.3,2800,Jayanagar,Pub,Salad,Beverages,2000.0,Drinks & nightlife,1,Expensive
Resto_487,Yes,No,3.0,1847,Marathahalli,Bakery,Burgers,"Thai, Desserts, Fast Food, South Indian",1500.0,Drinks & nightlife,4,Expensive
Resto_263,Yes,Yes,2.3,1130,Mg Road,Quick Service Restaurant,Sushi,"Mexican, Italian, North Indian, Thai",400.0,Drinks & nightlife,4,Cheap
Resto_369,No,Yes,2.3,1965,Whitefield,Cafe,Pasta,"Fast Food, North Indian, Desserts, Italian",600.0,Drinks & nightlife,4,Moderate
Burger King,Yes,No,4.6,604,Marathahalli,Fine Dining,Salad,"Beverages, South Indian, Desserts, Mexican",1200.0,Drinks & nightlife,4,Expensive
Leon Grill,Yes,Yes,2.7,2543,Jayanagar,Bar,Sushi,"North Indian, Thai, Chinese",1000.0,Dine-out,3,Moderate
Resto_56,Yes,No,3.2,1000,Mg Road,Pub,Burgers,"South Indian, Fast Food",400.0,Cafes,2,Cheap
Leon Grill,No,Yes,4.2,2634,Jp Nagar,Fine Dining,Biryani,"North Indian, Mexican, South Indian, Thai, Beverages",800.0,Pubs and bars,5,Moderate
Resto_546,Yes,No,3.2,1552,Jayanagar,Quick Service Restaurant,Dosa,Thai,800.0,Drinks & nightlife,1,Moderate
Resto_690,No,Yes,3.5,837,Jp Nagar,Pub,Biryani,"Continental, Desserts, Beverages, Chinese, South Indian",600.0,Drinks & nightlife,5,Moderate
Resto_740,Yes,No,3.6,880,Marathahalli,Quick Service Restaurant,Biryani,"North Indian, Mexican, Chinese, Thai, Italian",800.0,Drinks & nightlife,5,Moderate
Onesta,No,No,2.9,320,Hsr Layout,Cafe,Pizza,"South Indian, Mexican, Desserts",2000.0,Buffet,3,Expensive
Resto_987,No,No,3.5,146,Marathahalli,Casual Dining,Pasta,"South Indian, Italian, Mexican",2000.0,Delivery,3,Expensive
Resto_348,Yes,No,4.0,278,Koramangala,Bakery,Burgers,Beverages,400.0,Pubs and bars,1,Cheap
Leon Grill,No,Yes,4.7,1686,Hsr Layout,Quick Service Restaurant,Burgers,"Chinese, Mexican",200.0,Cafes,2,Cheap
Onesta,Yes,Yes,4.4,1366,Hsr Layout,Quick Service Restaurant,Pizza,Chinese,1200.0,Drinks & nightlife,1,Expensive
KFC,No,No,4.1,255,Jayanagar,Pub,Pasta,"Beverages, Thai",2000.0,Cafes,2,Expensive
Resto_286,Yes,Yes,3.7,2829,Marathahalli,Fine Dining,Biryani,"South Indian, Thai, Chinese, Desserts, Mexican",2000.0,Delivery,5,Expensive
Resto_827,Yes,No,3.3,2710,Jayanagar,Cafe,Burgers,"South Indian, Italian, Chinese, North Indian, Beverages",2000.0,Delivery,5,Expensive
Nandhana Palace,Yes,Yes,3.3,1728,Jayanagar,Quick Service Restaurant,Pizza,"Italian, Chinese, Desserts, Mexican",2500.0,Dine-out,4,Very Expensive
McDonald's,No,No,4.3,1741,Mg Road,Quick Service Restaurant,Biryani,Continental,2000.0,Drinks & nightlife,1,Expensive
Resto_322,No,Yes,2.6,2520,Mg Road,Bakery,Biryani,Thai,1200.0,Pubs and bars,1,Expensive
Resto_591,No,No,3.6,658,Mg Road,Quick Service Restaurant,Sushi,"Mexican, North Indian, Italian, Beverages, Thai",3000.0,Delivery,5,Very Expensive
Empire Restaurant,Yes,Yes,2.8,2521,Marathahalli,Cafe,Steak,"Thai, Continental",3000.0,Pubs and bars,2,Very Expensive
Resto_115,No,No,4.0,1555,Mg Road,Bar,Sushi,"South Indian, Continental, North Indian",1000.0,Cafes,3,Moderate
Burger King,No,No,2.6,1736,Jayanagar,Pub,Dosa,"Continental, Fast Food",3000.0,Cafes,2,Very Expensive
Resto_47,Yes,No,3.3,1139,Jayanagar,Pub,Pasta,"Desserts, Chinese, Fast Food, South Indian",1500.0,Drinks & nightlife,4,Expensive
McDonald's,Yes,No,3.2,867,Marathahalli,Quick Service Restaurant,Biryani,"Continental, Thai, South Indian",3000.0,Delivery,3,Very Expensive
Empire Restaurant,No,Yes,3.4,617,Koramangala,Bakery,Biryani,Thai,400.0,Dine-out,1,Cheap
McDonald's,No,No,3.0,1870,Koramangala,Casual Dining,Sushi,South Indian,1000.0,Drinks & nightlife,1,Moderate
Resto_626,No,No,4.5,716,Whitefield,Fine Dining,Sushi,"Thai, Mexican, Beverages",1000.0,Buffet,3,Moderate
Burger King,No,No,3.3,500,Whitefield,Bakery,Biryani,"Italian, South Indian, North Indian, Desserts",200.0,Dine-out,4,Cheap
Nandhana Palace,Yes,Yes,2.6,696,Mg Road,Bar,Pasta,"Chinese, Continental, Beverages, Desserts",2500.0,Delivery,4,Very Expensive
Leon Grill,No,No,2.5,1652,Koramangala,Cafe,Pizza,"South Indian, Italian",200.0,Drinks & nightlife,2,Cheap
Burger King,No,No,4.4,656,Whitefield,Pub,Salad,Thai,1500.0,Pubs and bars,1,Expensive
McDonald's,No,Yes,3.5,1076,Koramangala,Pub,Dosa,Italian,2500.0,Cafes,1,Very Expensive
Nandhana Palace,Yes,Yes,4.4,1195,Jp Nagar,Fine Dining,Pizza,North Indian,600.0,Drinks & nightlife,1,Moderate
Onesta,Yes,Yes,2.3,2798,Jayanagar,Pub,Biryani,"Fast Food, South Indian, Desserts",600.0,Buffet,3,Moderate
Resto_945,Yes,Yes,3.7,1952,Whitefield,Bakery,Sushi,"Chinese, South Indian, Beverages, Mexican, Desserts",2500.0,Cafes,5,Very Expensive
Resto_146,Yes,No,3.8,1349,Marathahalli,Quick Service Restaurant,Salad,"Fast Food, South Indian, Continental, Beverages",3000.0,Drinks & nightlife,4,Very Expensive
Onesta,Yes,No,2.6,586,Koramangala,Cafe,Burgers,"Chinese, Continental, Desserts, Fast Food",2000.0,Dine-out,4,Expensive
Empire Restaurant,Yes,No,2.1,1366,Jayanagar,Fine Dining,Pasta,"South Indian, Desserts, Mexican",2500.0,Buffet,3,Very Expensive
Leon Grill,Yes,No,4.7,207,Jayanagar,Pub,Pasta,"Mexican, Desserts, North Indian, Italian",1500.0,Drinks & nightlife,4,Expensive
Resto_735,No,No,2.1,866,Whitefield,Cafe,Sushi,"North Indian, Continental, Thai, Desserts, Beverages",2500.0,Pubs and bars,5,Very Expensive
KFC,No,Yes,4.6,2340,Jayanagar,Bar,Salad,"Continental, Beverages, Chinese",600.0,Buffet,3,Moderate
Empire Restaurant,Yes,No,4.6,362,Koramangala,Bakery,Pizza,"Desserts, Chinese",1200.0,Dine-out,2,Expensive
Resto_704,No,No,2.5,816,Jayanagar,Quick Service Restaurant,Sushi,"Desserts, Continental, Chinese",2000.0,Pubs and bars,3,Expensive
McDonald's,Yes,No,2.3,2759,Jp Nagar,Casual Dining,Salad,"South Indian, Desserts, Thai, Fast Food, Chinese",3000.0,Pubs and bars,5,Very Expensive
Onesta,Yes,Yes,2.8,2302,Whitefield,Cafe,Burgers,Fast Food,3000.0,Pubs and bars,1,Very Expensive
Resto_163,No,Yes,4.5,1807,Marathahalli,Casual Dining,Dosa,"Italian, South Indian, Continental, Chinese",1000.0,Delivery,4,Moderate
Resto_516,No,No,3.5,2183,Mg Road,Pub,Pasta,"Mexican, Chinese, Beverages",3000.0,Drinks & nightlife,3,Very Expensive
Resto_644,Yes,Yes,3.2,2238,Indiranagar,Quick Service Restaurant,Sushi,"Beverages, Desserts",800.0,Drinks & nightlife,2,Moderate
Resto_103,No,Yes,3.8,382,Jayanagar,Pub,Pizza,"South Indian, Fast Food, Thai, Mexican, Continental",200.0,Delivery,5,Cheap
Resto_98,Yes,Yes,3.4,1585,Indiranagar,Quick Service Restaurant,Pizza,"Desserts, Italian, Continental",2000.0,Cafes,3,Expensive
Resto_272,No,Yes,4.5,2117,Jp Nagar,Bar,Burgers,"Continental, Fast Food, North Indian, Italian",400.0,Drinks & nightlife,4,Cheap
Resto_508,Yes,No,2.8,97,Hsr Layout,Bar,Burgers,"Thai, Italian, Beverages",2500.0,Buffet,3,Very Expensive
Resto_434,No,No,3.3,2745,Marathahalli,Pub,Pizza,"Thai, South Indian, Italian",600.0,Cafes,3,Moderate
Resto_763,No,No,3.3,2419,Whitefield,Bar,Steak,"Thai, Mexican",1200.0,Pubs and bars,2,Expensive
Resto_482,Yes,No,4.6,1386,Hsr Layout,Quick Service Restaurant,Pizza,"Italian, Thai, Beverages, Desserts",600.0,Delivery,4,Moderate
Leon Grill,No,No,2.0,2014,Marathahalli,Quick Service Restaurant,Sushi,Mexican,1000.0,Dine-out,1,Moderate
Pizza Hut,No,No,4.3,630,Whitefield,Quick Service Restaurant,Biryani,"Chinese, Continental, Mexican, Fast Food",2000.0,Delivery,4,Expensive
McDonald's,No,No,2.6,182,Marathahalli,Casual Dining,Burgers,Desserts,1500.0,Cafes,1,Expensive
Pizza Hut,Yes,No,4.4,261,Indiranagar,Casual Dining,Sushi,"Fast Food, Italian, Chinese, Mexican",800.0,Delivery,4,Moderate
Resto_138,Yes,No,4.5,2677,Koramangala,Casual Dining,Salad,"Mexican, Fast Food, Desserts, North Indian",200.0,Cafes,4,Cheap
Resto_299,No,No,3.7,368,Hsr Layout,Bakery,Steak,"Mexican, South Indian, Beverages",1200.0,Drinks & nightlife,3,Expensive
Empire Restaurant,Yes,Yes,4.3,1106,Jayanagar,Casual Dining,Pizza,"Thai, Chinese, Desserts, Continental",400.0,Drinks & nightlife,4,Cheap
Onesta,No,No,4.3,1736,Mg Road,Cafe,Sushi,"Fast Food, Chinese, South Indian, Beverages, Desserts",2000.0,Delivery,5,Expensive
Resto_864,Yes,No,3.6,2282,Whitefield,Bakery,Burgers,South Indian,3000.0,Dine-out,1,Very Expensive
KFC,No,No,3.7,373,Whitefield,Fine Dining,Steak,"Thai, Continental, Mexican, Beverages",600.0,Cafes,4,Moderate
Resto_801,Yes,Yes,3.4,520,Koramangala,Bakery,Burgers,"Chinese, Fast Food, Italian, North Indian",1500.0,Cafes,4,Expensive
Nandhana Palace,No,Yes,2.1,145,Marathahalli,Pub,Biryani,"Thai, Mexican",2000.0,Delivery,2,Expensive
Pizza Hut,No,Yes,4.2,1218,Hsr Layout,Bar,Pizza,"Desserts, Thai",1500.0,Cafes,2,Expensive
Resto_353,Yes,No,3.7,2111,Marathahalli,Bakery,Pizza,"Mexican, Chinese, Italian, North Indian",1500.0,Buffet,4,Expensive
Resto_553,No,Yes,4.3,422,Jayanagar,Cafe,Pasta,"South Indian, Italian, Chinese, Desserts, Beverages",200.0,Cafes,5,Cheap
Onesta,Yes,No,2.1,2062,Hsr Layout,Bar,Sushi,"Thai, North Indian",3000.0,Drinks & nightlife,2,Very Expensive
Resto_378,Yes,No,2.4,1836,Jayanagar,Pub,Sushi,"Chinese, North Indian, Mexican",2000.0,Dine-out,3,Expensive
Leon Grill,Yes,Yes,2.3,963,Marathahalli,Pub,Sushi,"Thai, Mexican, Italian, Fast Food, Beverages",1200.0,Dine-out,5,Expensive
Empire Restaurant,Yes,No,3.9,2703,Jp Nagar,Bar,Burgers,North Indian,1000.0,Cafes,1,Moderate
McDonald's,Yes,No,3.5,2636,Indiranagar,Bar,Sushi,"Italian, Chinese, Beverages",400.0,Dine-out,3,Cheap
Resto_164,Yes,Yes,2.9,2864,Hsr Layout,Bakery,Pasta,Chinese,200.0,Buffet,1,Cheap
Onesta,No,Yes,2.9,607,Indiranagar,Cafe,Dosa,"Fast Food, Beverages, Thai",1500.0,Cafes,3,Expensive
Onesta,Yes,Yes,4.9,1484,Marathahalli,Pub,Pizza,"South Indian, Desserts, North Indian, Italian, Thai",3000.0,Drinks & nightlife,5,Very Expensive
Resto_499,No,Yes,2.4,2745,Marathahalli,Bakery,Pasta,"Chinese, Fast Food, Italian, Thai",2000.0,Dine-out,4,Expensive
Resto_637,Yes,Yes,4.2,985,Jayanagar,Pub,Sushi,"Italian, Desserts, Beverages, South Indian, Mexican",400.0,Pubs and bars,5,Cheap
Resto_58,No,Yes,4.5,436,Hsr Layout,Bakery,Salad,"Thai, Continental, Beverages, North Indian, Fast Food",1500.0,Drinks & nightlife,5,Expensive
Resto_940,Yes,No,3.8,1823,Whitefield,Quick Service Restaurant,Salad,"Fast Food, Italian, North Indian",800.0,Delivery,3,Moderate
Leon Grill,No,No,2.0,930,Marathahalli,Quick Service Restaurant,Biryani,"Mexican, Desserts, Beverages, South Indian",800.0,Dine-out,4,Moderate
Empire Restaurant,No,No,2.5,2448,Mg Road,Bar,Pizza,"Fast Food, Mexican, Continental, Beverages, Desserts",3000.0,Buffet,5,Very Expensive
Leon Grill,No,No,4.0,1929,Indiranagar,Casual Dining,Dosa,"Chinese, North Indian, Continental, Fast Food, Beverages",200.0,Pubs and bars,5,Cheap
Leon Grill,Yes,Yes,2.2,967,Hsr Layout,Bakery,Biryani,Italian,600.0,Cafes,1,Moderate
McDonald's,No,Yes,3.0,967,Koramangala,Fine Dining,Dosa,Desserts,1000.0,Pubs and bars,1,Moderate
Nandhana Palace,Yes,No,4.3,391,Jp Nagar,Fine Dining,Pasta,"Continental, Beverages, Fast Food, Desserts, North Indian",200.0,Drinks & nightlife,5,Cheap
McDonald's,Yes,No,4.5,583,Jayanagar,Cafe,Salad,"Fast Food, Continental",800.0,Pubs and bars,2,Moderate
Onesta,Yes,No,3.2,2309,Koramangala,Pub,Biryani,"Continental, North Indian, Mexican, South Indian",200.0,Cafes,4,Cheap
KFC,No,No,3.6,2498,Marathahalli,Cafe,Steak,Thai,1000.0,Drinks & nightlife,1,Moderate
Resto_233,No,Yes,4.0,2301,Hsr Layout,Fine Dining,Steak,"Mexican, Italian, Continental, Thai, Fast Food",200.0,Pubs and bars,5,Cheap
Leon Grill,No,Yes,2.1,2627,Jayanagar,Pub,Sushi,Beverages,1000.0,Drinks & nightlife,1,Moderate
Empire Restaurant,No,No,3.6,653,Indiranagar,Casual Dining,Biryani,"Italian, Fast Food, Mexican",1200.0,Drinks & nightlife,3,Expensive
Pizza Hut,No,Yes,3.6,2466,Mg Road,Casual Dining,Pasta,"Continental, South Indian, Italian, Mexican",1500.0,Cafes,4,Expensive
Resto_154,No,Yes,4.5,2528,Jayanagar,Bar,Pizza,"Fast Food, Chinese, South Indian",1200.0,Dine-out,3,Expensive
Resto_665,Yes,No,3.8,1838,Mg Road,Cafe,Dosa,"South Indian, Beverages, Italian, Mexican, Desserts",3000.0,Drinks & nightlife,5,Very Expensive
McDonald's,Yes,No,2.2,128,Whitefield,Bakery,Salad,"Desserts, Fast Food",1500.0,Dine-out,2,Expensive
Onesta,No,No,3.3,2528,Hsr Layout,Bar,Steak,"Fast Food, Desserts, North Indian, Beverages, South Indian",1200.0,Buffet,5,Expensive
Resto_442,Yes,Yes,2.8,2772,Jayanagar,Cafe,Salad,"North Indian, Chinese, Thai, Italian, Fast Food",3000.0,Drinks & nightlife,5,Very Expensive
Onesta,Yes,No,2.1,2415,Koramangala,Cafe,Sushi,"Fast Food, Desserts",200.0,Buffet,2,Cheap
Leon Grill,Yes,Yes,3.2,1870,Koramangala,Pub,Pasta,"Beverages, Continental, Italian, Desserts, Fast Food",3000.0,Dine-out,5,Very Expensive
Burger King,No,Yes,4.1,1037,Jp Nagar,Quick Service Restaurant,Steak,"Chinese, Beverages, North Indian, Desserts, Thai",2000.0,Delivery,5,Expensive
Nandhana Palace,No,No,4.1,2235,Whitefield,Fine Dining,Salad,"Continental, Thai, Desserts, North Indian",1200.0,Delivery,4,Expensive
Resto_387,Yes,Yes,4.5,2805,Whitefield,Quick Service Restaurant,Dosa,"Chinese, Beverages, Thai",600.0,Drinks & nightlife,3,Moderate
McDonald's,No,No,4.1,2152,Marathahalli,Fine Dining,Burgers,"Desserts, Continental, Mexican, Thai",3000.0,Dine-out,4,Very Expensive
Resto_203,No,Yes,3.5,2329,Koramangala,Cafe,Sushi,"Italian, North Indian",800.0,Pubs and bars,2,Moderate
Resto_711,Yes,No,3.1,870,Marathahalli,Fine Dining,Steak,"Desserts, Italian, Chinese, Beverages",600.0,Drinks & nightlife,4,Moderate
Resto_627,No,No,4.8,2043,Jayanagar,Bakery,Dosa,"Beverages, Continental",3000.0,Cafes,2,Very Expensive
Empire Restaurant,Yes,No,2.5,1164,Jayanagar,Bakery,Pizza,"Thai, North Indian, Chinese, Mexican, South Indian",1200.0,Cafes,5,Expensive
McDonald's,No,Yes,4.3,2953,Jp Nagar,Quick Service Restaurant,Steak,"South Indian, Continental, Italian, Mexican, Thai",200.0,Drinks & nightlife,5,Cheap
Resto_125,Yes,Yes,2.2,1933,Koramangala,Quick Service Restaurant,Steak,"South Indian, Fast Food, Mexican, Beverages",1500.0,Delivery,4,Expensive
Nandhana Palace,No,Yes,3.7,350,Koramangala,Casual Dining,Pizza,"Thai, Chinese, South Indian, North Indian",2000.0,Delivery,4,Expensive
Leon Grill,Yes,Yes,4.4,223,Mg Road,Quick Service Restaurant,Salad,"Italian, Fast Food",400.0,Buffet,2,Cheap
Resto_753,Yes,No,3.9,820,Jp Nagar,Fine Dining,Biryani,"South Indian, Italian, Fast Food, Chinese, Desserts",600.0,Dine-out,5,Moderate
McDonald's,Yes,No,4.5,2111,Indiranagar,Fine Dining,Pizza,Desserts,2000.0,Buffet,1,Expensive
Leon Grill,No,Yes,2.0,2570,Whitefield,Quick Service Restaurant,Sushi,"Thai, Beverages, Mexican, Chinese, Desserts",3000.0,Drinks & nightlife,5,Very Expensive
Resto_908,No,No,4.9,2508,Hsr Layout,Bakery,Biryani,Desserts,3000.0,Drinks & nightlife,1,Very Expensive
Resto_147,No,No,4.0,2011,Hsr Layout,Quick Service Restaurant,Biryani,"Continental, Mexican, Thai, North Indian",3000.0,Pubs and bars,4,Very Expensive
Resto_922,No,No,2.8,2420,Hsr Layout,Casual Dining,Pasta,"South Indian, Fast Food, Chinese",200.0,Pubs and bars,3,Cheap
Resto_192,No,Yes,2.1,1794,Mg Road,Cafe,Burgers,"Desserts, Mexican, Thai, Continental",1500.0,Dine-out,4,Expensive
Empire Restaurant,Yes,Yes,4.4,2897,Indiranagar,Cafe,Pasta,"Desserts, Fast Food",600.0,Dine-out,2,Moderate
